name,sex,daysold,height,waist,leg,weight_age1,measure,result,debut,graded_winner,win1,win2,win3
パフォーマプロミス,1,482,152,167,19.5,396,576,452,839,1,アルゼンＨG2(芝2500),日経新春ＨG2(芝2400),鳴尾記念G3(芝2000)
プロミストウォリア,1,478,151,171,20,440,533,524,621,1,東海ＳG2(ダ1800),アンタレG3(ダ1800),
グロンディオーズ,1,421,152,167,21,410,576,532,618,1,ダイヤモＨG3(芝3400),,
フィエールマン,1,501,154.5,169,20.4,402,576,488,603,1,天皇賞春G1(芝3200),天皇賞春G1(芝3200),菊花賞G1(芝3000)
マッドクール,1,433,151.5,166.5,19.8,409,576,520,598,1,高松宮記G1(芝1200),,
ルフトシュトローム,1,489,157,167,20,396,576,492,594,1,ニュージG2(芝1600),,
パラレルヴィジョン,1,568,156,175,21.1,447,494,494,592,1,ダービーＨG3(芝1600),,
ヴェラアズール,1,583,160,181,21.2,483,494,514,573,1,ＪＣG1(芝2400),京都大賞G2(芝2400),
リアルスティール,1,460,154.4,168.5,20.2,396,576,498,571,1,毎日王冠G2(芝1800),共同通信G3(芝1800),
デアレガーロ,0,417,148,166.5,18.7,380,577,470,570,1,京都牝馬G3(芝1400),,
レーヴミストラル,1,392,151.2,167,19.6,369,576,474,550,1,日経新春ＨG2(芝2400),青葉賞G2(芝2400),
センテリュオ,0,505,155.5,175.5,19.7,421,494,454,549,1,オールカG2(芝2200),,
ムーンクエイク,1,486,154,175,20.5,444,494,492,545,1,京王杯スG2(芝1400),,
サングレアル,0,393,147.5,158,18.3,316,576,420,544,1,フローラG2(芝2000),,
フォイヤーヴェルク,1,466,148,166,20.4,396,576,436,536,1,新潟ジャJG3(芝3250),,
アンドヴァラナウト,0,468,149,161.5,19.1,381,577,428,536,1,ローズＳG2(芝2000),,
セラフィックコール,1,571,158,180,20,485,494,540,536,1,みやこＳG3(ダ1800),,
チェッキーノ,0,481,156.5,177,19.5,419,576,452,529,1,フローラG2(芝2000),,
ハートレー,1,419,151,163,20.5,406,576,484,528,1,ホープフG2(芝2000),,
クイーンズウォーク,0,447,160.5,173,21.5,447,576,518,525,1,金鯱賞G2(芝2000),ローズＳG2(芝2000),クイーンG3(芝1600)
タッチングスピーチ,0,469,152.5,171,20.6,409,576,458,523,1,ローズＳG2(芝1800),,
アルアイン,1,399,150.5,164,20.5,389,577,518,513,1,大阪杯G1(芝2000),皐月賞G1(芝2000),毎日杯G3(芝1800)
シャフリヤール,1,417,151,163.5,20,354,577,450,509,1,東京優駿G1(芝2400),毎日杯G3(芝1800),
プレサージュリフト,0,406,153,173.5,18.3,389,576,452,507,1,クイーンG3(芝1600),,
レイパパレ,0,574,155,169,19.2,420,494,416,504,1,大阪杯G1(芝2000),チャレンG3(芝2000),
ベルーフ,1,500,151.5,171,19,415,576,474,497,1,京成杯G3(芝2000),,
ドゥラメンテ,1,439,154.4,167,19.8,410,576,480,495,1,東京優駿G1(芝2400),皐月賞G1(芝2000),中山記念G2(芝1800)
キャットコイン,0,457,154,166.5,19.6,382,576,434,494,1,クイーンG3(芝1600),,
ワンブレスアウェイ,0,421,155.5,169.5,18.9,391,576,476,493,1,愛知杯ＨG3(芝2000),,
サラキア,0,588,155,180,19.1,452,473,436,493,1,アイルラG2(芝1800),,
